id,product_A_sold_in_the_past,product_B_sold_in_the_past,product_A_recommended,product_A,product_C,product_D,cust_hitrate,cust_interactions,cust_contracts,opp_month,opp_old,competitor_Z,competitor_X,competitor_Y,cust_in_iberia,target_variable
1,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.12643,0.30731,-0.34997,-1.41464,-0.28185,0,0,0,1,Win
2,-0.25992,-0.28599,-0.1097,-0.0891,-0.02372,-0.04247,0.42465,3.26349,0.92184,-1.11923,3.54793,1,0,0,0,Lost
3,-0.25992,-0.18998,-0.1097,-0.0891,-0.02372,-0.04247,0.72559,1.29633,-0.34997,0.65323,-0.28185,0,0,0,0,Lost
4,0.65945,3.35306,-0.1097,-0.0891,-0.02372,-0.04247,1.55091,-0.6817,3.46544,1.24404,-0.28185,0,0,0,1,Lost
5,-0.25992,-0.24623,-0.1097,-0.0891,-0.02372,-0.04247,-0.50193,0.6551,-0.03202,1.53945,-0.28185,1,0,0,0,Lost
6,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.37336,1.28546,-0.34997,-0.233,-0.28185,0,0,0,1,Win
7,0.28136,2.25596,-0.1097,-0.0891,-0.02372,-0.04247,-0.76732,3.22002,-0.34997,-1.41464,3.54793,1,0,1,0,Lost
8,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.7108,-0.6817,-0.34997,-1.41464,-0.28185,0,0,0,1,Win
9,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.42123,-0.42086,-0.34997,0.35782,-0.28185,0,0,1,1,Win
10,-0.21965,-0.01507,0.59619,4.78455,-0.02372,-0.04247,1.29971,1.08983,-0.34997,-0.233,-0.28185,0,0,1,1,Win
11,-0.25992,-0.18594,-0.1097,-0.0891,-0.02372,-0.04247,-0.73938,0.24211,-0.34997,0.94864,-0.28185,0,0,1,1,Win
12,-0.25992,2.25232,-0.1097,-0.0891,-0.02372,-0.04247,-0.01657,2.03537,-0.34997,-1.11923,-0.28185,1,0,1,1,Lost
13,-0.0586,-0.24182,-0.1097,-0.0891,-0.02372,-0.04247,-0.8269,0.85073,-0.34997,1.53945,-0.28185,0,0,0,1,Lost
14,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.70408,-0.6817,-0.34997,-1.41464,-0.28185,0,0,0,1,Win
15,-0.25992,-0.18026,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.6817,-0.34997,-0.233,-0.28185,0,0,0,0,Win
16,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.57302,-0.34997,0.65323,-0.28185,1,0,0,0,Win
17,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.04129,-0.6817,-0.34997,1.24404,-0.28185,0,0,0,1,Lost
18,-0.25992,-0.32141,-0.1097,-0.0891,-0.02372,-0.04247,1.631,-0.6817,-0.34997,-0.82382,-0.28185,0,0,0,1,Win
19,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.11173,0.99202,-0.03202,-1.11923,-0.28185,0,0,0,1,Lost
20,-0.25992,-0.30331,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.6817,-0.34997,0.94864,-0.28185,1,0,0,1,Win
21,0.18371,-0.11793,-0.1097,-0.0891,-0.02372,-0.04247,-0.75255,-0.6817,-0.34997,0.94864,-0.28185,1,0,0,1,Lost
22,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,1.73092,-0.58389,-0.34997,-0.233,-0.28185,0,0,1,0,Win
23,4.05959,-0.34794,0.51314,2.23537,-0.02372,-0.04247,0.55338,0.6225,-0.34997,-1.11923,3.54793,0,0,1,1,Lost
24,-0.0586,-0.24182,-0.1097,-0.0891,-0.02372,-0.04247,-0.77412,-0.6817,-0.34997,-0.233,-0.28185,0,0,0,0,Lost
25,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.74223,-0.05134,-0.34997,0.94864,-0.28185,0,0,0,1,Win
26,-0.25992,-0.19213,-0.1097,-0.0891,-0.02372,-0.04247,0.73773,5.15457,-0.34997,-0.82382,-0.28185,0,0,0,1,Lost
27,-0.25992,-0.31362,-0.1097,-0.0891,-0.02372,-0.04247,0.35389,1.18765,-0.34997,0.06241,3.54793,1,0,0,0,Lost
28,-0.25992,-0.19767,-0.1097,-0.0891,-0.02372,-0.04247,0.75433,1.67672,-0.34997,-1.11923,-0.28185,0,0,1,0,Win
29,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.12789,0.74205,-0.34997,0.94864,-0.28185,0,0,0,1,Win
30,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.10426,0.72031,-0.03202,-1.11923,-0.28185,0,0,0,0,Lost
31,-0.25992,-0.34557,-0.1097,-0.0891,-0.02372,-0.04247,1.56184,-0.6817,0.60388,-1.11923,-0.28185,0,0,0,1,Win
32,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.0077,1.31807,-0.34997,0.35782,-0.28185,0,0,0,0,Win
33,-0.25992,-0.34794,4.04258,-0.0891,-0.02372,-0.04247,-0.12253,1.89409,-0.34997,-0.52841,3.54793,0,0,0,1,Lost
34,-0.19248,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.0306,-0.36652,-0.34997,-0.82382,-0.28185,1,0,0,0,Lost
35,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.52547,-0.6817,0.28593,-0.233,-0.28185,1,0,1,1,Lost
36,-0.19281,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-0.32417,0.94854,-0.34997,0.06241,-0.28185,1,0,0,1,Lost
37,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,0.73797,0.11169,-0.34997,0.65323,-0.28185,0,0,0,0,Lost
38,-0.25992,-0.33409,-0.1097,-0.0891,-0.02372,-0.04247,-1.15993,-0.6817,-0.34997,-0.82382,-0.28185,0,0,0,1,Win
39,-0.25992,-0.34794,-0.1097,-0.0891,-0.02372,-0.04247,-1.1667,-0.57302,3.14749,-0.52841,-0.28185,0,0,0,1,Lost
40,-0.18862,0.37913,-0.1097,-0.0891,-0.02372,-0.04247,-0.63133,1.42675,-0.34997,-1.41464,3.54793,0,0,1,1,Lost
41,-0.25992,-0.28507,-0.1097,-0.0891,-0.02372,-0.04247,-0.86242,-0.35565,-0.34997,0.94864,3.54793,1,0,0,1,Lost
